id,tab_file_name,attempt_no,aircraft_type,is_subset,subset_row_count,status,row_count_tab,row_count_clickhouse,column_count,had_trailing_tab_issue,tab_zst_object_key,tab_zst_size_bytes,original_size_bytes,compression_algorithm,compression_level,compress_duration_seconds,minio_upload_duration_seconds,clickhouse_load_duration_seconds,clickhouse_table_name,clickhouse_disk_bytes,clickhouse_loaded_at,error_detail,started_at,finished_at
22,synthetic_10k_1000.tab,9,AIRCRAFT_10K,f,,done,1000,1000,10002,f,grid/synthetic_10k_1000.tab.zst,7315530,28701380,zstd,12,0.9239509105682373,0.31569528579711914,1.405876874923706,synthetic_10k_1000,9055662,2026-08-25 12:07:47.093598+00,,2026-08-25 12:07:42.807283+00,2026-08-25 12:07:47.093598+00
23,synthetic_10k_1000.tab,10,AIRCRAFT_10K,f,,done,1000,1000,10002,f,grid/synthetic_10k_1000.tab.zst,7315530,28701380,zstd,12,3.8207099437713623,0.19673490524291992,1.09515380859375,synthetic_10k_1000,9055662,2026-08-25 12:08:08.714575+00,,2026-08-25 12:08:02.87706+00,2026-08-25 12:08:08.714575+00
24,synthetic_20k_1000.tab,6,AIRCRAFT_20K,f,,done,1000,1000,20002,f,grid/synthetic_20k_1000.tab.zst,14335097,57387210,zstd,12,4.083783388137817,0.2030048370361328,2.85844349861145,synthetic_20k_1000,20659075,2026-08-25 12:08:12.121424+00,,2026-08-25 12:08:02.890982+00,2026-08-25 12:08:12.121424+00
25,synthetic_30k_1000.tab,3,AIRCRAFT_30K,f,,done,1000,1000,30002,f,grid/synthetic_30k_1000.tab.zst,21292542,86078306,zstd,12,4.246014356613159,0.15386652946472168,5.655259609222412,synthetic_30k_1000,32769167,2026-08-25 12:08:19.400917+00,,2026-08-25 12:08:02.89301+00,2026-08-25 12:08:19.400917+00
26,synthetic_10k_1000.tab,11,AIRCRAFT_10K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.599297+00,
27,synthetic_10k_5000.tab,2,AIRCRAFT_10K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.614499+00,
28,synthetic_10k_50000.tab,2,AIRCRAFT_10K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.618021+00,
29,synthetic_10k_100000.tab,2,AIRCRAFT_10K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.621029+00,
30,synthetic_20k_1000.tab,7,AIRCRAFT_20K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.624437+00,
31,synthetic_20k_5000.tab,2,AIRCRAFT_20K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.6507+00,
32,synthetic_20k_50000.tab,2,AIRCRAFT_20K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.675042+00,
33,synthetic_20k_100000.tab,2,AIRCRAFT_20K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.709936+00,
34,synthetic_30k_1000.tab,4,AIRCRAFT_30K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.714559+00,
35,synthetic_30k_5000.tab,2,AIRCRAFT_30K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.718791+00,
36,synthetic_30k_50000.tab,2,AIRCRAFT_30K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.752534+00,
37,synthetic_30k_100000.tab,2,AIRCRAFT_30K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.75764+00,
38,synthetic_40k_1000.tab,2,AIRCRAFT_40K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.772507+00,
39,synthetic_40k_5000.tab,2,AIRCRAFT_40K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.802444+00,
40,synthetic_40k_50000.tab,2,AIRCRAFT_40K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.831486+00,
41,synthetic_40k_100000.tab,4,AIRCRAFT_40K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.864665+00,
42,synthetic_50k_1000.tab,4,AIRCRAFT_50K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.869727+00,
43,synthetic_50k_5000.tab,4,AIRCRAFT_50K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.873275+00,
44,synthetic_50k_50000.tab,4,AIRCRAFT_50K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.876178+00,
45,synthetic_50k_100000.tab,10,AIRCRAFT_50K,,,processing,,,,,,,,,,,,,,,,,2026-08-25 12:17:41.896232+00,
